size;fill;def;csc;result
310;50;384424;385756;0.9965470400978858
310;55;384424;424196;0.9062414544220124
310;60;384424;462636;0.8309426849618274
310;65;384424;501076;0.7671969920730588
310;70;384424;539516;0.7125349387228553
310;75;384424;577956;0.6651440594093668
310;80;384424;616396;0.6236640082025191
310;85;384424;654836;0.5870538577598056
310;90;384424;693276;0.5545035454854921
310;95;384424;731716;0.5253732322376441
310;100;384424;770156;0.49915082139202965
360;0;518424;1556;333.17737789203085
360;5;518424;53396;9.70904187579594
360;10;518424;105236;4.926298985138166
360;15;518424;157076;3.300466016450635
360;20;518424;208916;2.4814949549101075
360;25;518424;260756;1.9881575112365584
360;30;518424;312596;1.6584473249817655
360;35;518424;364436;1.4225378392913983
360;40;518424;416276;1.2453852732321824
360;45;518424;468116;1.1074690888583172
360;50;518424;519956;0.9970535968428098
360;55;518424;571796;0.9066590182512645
360;60;518424;623636;0.8312926129986081
360;65;518424;675476;0.7674943299243793
360;70;518424;727316;0.7127905889599568
360;75;518424;779156;0.6653661141029524
360;80;518424;830996;0.6238585985973458
360;85;518424;882836;0.5872257134960513
360;90;518424;934676;0.5546563729035516
360;95;518424;986516;0.5255099765234421
360;100;518424;1038356;0.49927385212778663
410;0;672424;1756;382.92938496583145
410;5;672424;68996;9.745840338570352
410;10;672424;136236;4.935729175841922
410;15;672424;203476;3.3046845819654407
410;20;672424;270716;2.483872397641809
410;25;672424;337956;1.9896791298275516
410;30;672424;405196;1.6595030553115035
410;35;672424;472436;1.4233123640027432
410;40;672424;539676;1.245977215959205
410;45;672424;606916;1.1079358593281443
410;50;672424;674156;0.997430861699666
410;55;672424;741396;0.9069700942546224
410;60;672424;808636;0.8315533812494126
410;65;672424;875876;0.7677159780608214
410;70;672424;943116;0.71298122394276
410;75;672424;1010356;0.6655317531642312
410;80;672424;1077596;0.624003801053456
410;85;672424;1144836;0.5873539965549651
410;90;672424;1212076;0.5547704929393866
410;95;672424;1279316;0.5256121239787511
410;100;672424;1346556;0.499365789465867
460;0;846424;1956;432.7321063394683
460;5;846424;86596;9.774400665157744
460;10;846424;171236;4.943025999205775
460;15;846424;255876;3.3079460363613626
460;20;846424;340516;2.485709922588072
460;25;846424;425156;1.9908551214142574
460;30;846424;509796;1.6603190295726133
460;35;846424;594436;1.4239110686432181
460;40;846424;679076;1.2464348614882577
460;45;846424;763716;1.1082968014288033
460;50;846424;848356;0.9977226541687688
460;55;846424;932996;0.9072107490278629
460;60;846424;1017636;0.8317551658942883
460;65;846424;1102276;0.7678875345194851
460;70;846424;1186916;0.7131288145075136
460;75;846424;1271556;0.6656600259839126
460;80;846424;1356196;0.6241162781780805
460;85;846424;1440836;0.587453395112282
460;90;846424;1525476;0.5548589423891297
460;95;846424;1610116;0.5256913166504773
460;100;846424;1694756;0.4994370871087047
