size;fill;def;csc;compare
410;70;440000.0;1586400.0;0.2773575390821987
410;75;441312.5;1568600.0;0.28134164222873903
410;80;438000.0;1518000.0;0.2885375494071146
410;85;435500.0;1459375.0;0.2984154175588865
410;90;438000.0;1428500.0;0.30661533076653835
410;95;434000.0;1321000.0;0.3285389856169568
410;100;433500.0;1212941.1765;0.3573957322900728
460;0;552625.0;1540.0;358.8474025974026
460;5;557500.0;202250.0;2.7564894932014834
460;10;553000.0;414500.0;1.3341375150784076
460;15;543500.0;588000.0;0.9243197278911565
460;20;542000.0;787500.0;0.6882539682539682
460;25;543500.0;987111.1111;0.5505965781241625
460;30;548250.0;1168666.6667;0.4691243582296314
460;35;547318.1818;1356250.0;0.40355257644239634
460;40;577000.0;1556500.0;0.3707035014455509
460;45;557200.0;1703500.0;0.32709128265336074
460;50;543000.0;1848000.0;0.29383116883116883
460;55;549846.1538;1935000.0;0.28415821901808785
460;60;546666.6667;2069000.0;0.2642178186080232
460;65;563000.0;2055916.6667;0.27384378419563304
460;70;547500.0;2029000.0;0.26983735830458355
460;75;561222.2222;1994090.9091;0.2814426461897358
460;80;545500.0;1924500.0;0.28345024681735514
460;85;545500.0;1858000.0;0.2935952637244349
460;90;546500.0;1771000.0;0.3085827216261999
460;95;554000.0;1660500.0;0.3336344474555857
460;100;546000.0;1565750.0;0.34871467347916335
510;0;679200.0;2000.0;339.6
510;5;688888.8889;258647.0588;2.6634321383591932
510;10;669600.0;504571.4286;1.327066817591899
510;15;689285.7143;764000.0;0.9022064323298429
510;20;682000.0;1031660.0;0.6610705077254134
510;25;680333.3333;1228000.0;0.5540173723941368
510;30;665500.0;1485000.0;0.44814814814814813
510;35;670400.0;1726666.6667;0.38826254825505285
510;40;666500.0;1881000.0;0.3543328017012228
510;45;667000.0;2110000.0;0.3161137440758294
510;50;670000.0;2309000.0;0.29016890428757036
510;55;670500.0;2459500.0;0.272616385444196
510;60;664000.0;2464166.6667;0.2694622928607445
510;65;668000.0;2475000.0;0.2698989898989899
510;70;664000.0;2488500.0;0.2668274060679124
510;75;666000.0;2438000.0;0.27317473338802295
510;80;671666.6667;2399500.0;0.2799194276724317
510;85;664000.0;2321000.0;0.28608358466178374
510;90;665500.0;2224500.0;0.2991683524387503
510;95;669142.8571;2047000.0;0.32688952471910115
510;100;664000.0;1955500.0;0.33955510099718744
